[2025-07-19 12:47:11,786: INFO: main: Welcome to our custom logging data science]
[2025-07-19 19:53:40,742: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x======x]
[2025-07-19 21:55:40,700: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 21:55:40,702: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 21:59:34,319: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 21:59:34,322: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 21:59:34,338: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 21:59:34,342: INFO: common: created directory at: artifacts]
[2025-07-19 21:59:34,343: INFO: common: created directory at: artifacts/data_validation]
[2025-07-19 22:03:08,573: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 22:03:08,576: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 22:03:08,583: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 22:03:08,585: INFO: common: created directory at: artifacts]
[2025-07-19 22:03:08,586: INFO: common: created directory at: artifacts/data_validation]
[2025-07-19 22:53:46,558: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-07-19 22:53:46,580: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 22:53:46,600: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 22:53:46,623: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 22:53:46,625: INFO: common: created directory at: artifacts]
[2025-07-19 22:53:46,627: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-19 22:53:46,628: INFO: data_ingestion: File alreday exists]
[2025-07-19 22:53:46,661: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x======x]
[2025-07-19 22:53:46,662: INFO: main: >>>>>> stage MOdel validaiton stage started <<<<<<<]
[2025-07-19 22:53:46,663: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 22:53:46,664: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 22:53:46,667: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 22:53:46,668: INFO: common: created directory at: artifacts]
[2025-07-19 22:53:46,669: INFO: common: created directory at: artifacts/data_validation]
[2025-07-19 22:53:46,702: INFO: main: >>>>>> stage MOdel validaiton stage completed <<<<<<<

x======x]
[2025-07-19 23:50:07,652: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 23:50:07,658: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 23:55:31,187: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 23:55:31,190: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 23:55:31,195: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 23:55:31,197: INFO: common: created directory at: artifacts]
[2025-07-19 23:58:51,445: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 23:58:51,450: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 23:58:51,455: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 23:58:51,459: INFO: common: created directory at: artifacts]
[2025-07-20 00:14:41,850: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 00:14:41,853: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 00:14:41,858: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 00:14:41,860: INFO: common: created directory at: artifacts]
[2025-07-20 00:15:39,156: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 00:15:39,157: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 00:15:39,162: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 00:15:39,166: INFO: common: created directory at: artifacts]
[2025-07-20 00:15:39,169: INFO: common: created directory at: artifacts/data_transformation]
[2025-07-20 00:15:39,217: INFO: 2410494514: Splitted data into training and test sets]
[2025-07-20 00:15:39,219: INFO: 2410494514: (1199, 12)]
[2025-07-20 00:15:39,221: INFO: 2410494514: (400, 12)]
[2025-07-20 00:50:23,269: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-07-20 00:50:23,272: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 00:50:23,273: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 00:50:23,276: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 00:50:23,277: INFO: common: created directory at: artifacts]
[2025-07-20 00:50:23,278: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-20 00:50:23,278: INFO: data_ingestion: File alreday exists]
[2025-07-20 00:50:23,285: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x======x]
[2025-07-20 00:50:23,285: INFO: main: >>>>>> stage MOdel validaiton stage started <<<<<<<]
[2025-07-20 00:50:23,288: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 00:50:23,292: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 00:50:23,295: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 00:50:23,298: INFO: common: created directory at: artifacts]
[2025-07-20 00:50:23,300: INFO: common: created directory at: artifacts/data_validation]
[2025-07-20 00:50:23,339: INFO: main: >>>>>> stage MOdel validaiton stage completed <<<<<<<

x======x]
[2025-07-20 00:50:23,339: INFO: main: >>>>>> stage Data Transformation stage started <<<<<<<]
[2025-07-20 00:50:23,355: INFO: main: >>>>>> stage Data Transformation stage completed <<<<<<<

x======x]
[2025-07-20 00:54:27,903: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-07-20 00:54:27,906: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 00:54:27,906: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 00:54:27,924: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 00:54:27,927: INFO: common: created directory at: artifacts]
[2025-07-20 00:54:27,929: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-20 00:54:27,930: INFO: data_ingestion: File alreday exists]
[2025-07-20 00:54:27,937: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x======x]
[2025-07-20 00:54:27,938: INFO: main: >>>>>> stage MOdel validaiton stage started <<<<<<<]
[2025-07-20 00:54:27,941: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 00:54:27,943: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 00:54:27,947: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 00:54:27,950: INFO: common: created directory at: artifacts]
[2025-07-20 00:54:27,951: INFO: common: created directory at: artifacts/data_validation]
[2025-07-20 00:54:27,989: INFO: main: >>>>>> stage MOdel validaiton stage completed <<<<<<<

x======x]
[2025-07-20 00:54:27,989: INFO: main: >>>>>> stage Data Transformation stage started <<<<<<<]
[2025-07-20 00:54:27,991: INFO: main: >>>>>> stage Data Transformation stage completed <<<<<<<

x======x]
[2025-07-20 00:59:47,665: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 00:59:47,669: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 00:59:47,678: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 00:59:47,681: INFO: common: created directory at: artifacts]
[2025-07-20 00:59:47,683: INFO: common: created directory at: artifacts/data_transformation]
[2025-07-20 00:59:47,717: INFO: 2410494514: Splitted data into training and test sets]
[2025-07-20 00:59:47,718: INFO: 2410494514: (1199, 12)]
[2025-07-20 00:59:47,719: INFO: 2410494514: (400, 12)]
[2025-07-20 08:20:51,313: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 08:20:51,329: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 08:20:51,332: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 08:20:51,335: INFO: common: created directory at: artifacts]
[2025-07-20 08:20:51,337: INFO: common: created directory at: artifacts/model_trainer]
[2025-07-20 08:48:44,002: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-07-20 08:48:44,004: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 08:48:44,005: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 08:48:44,008: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 08:48:44,008: INFO: common: created directory at: artifacts]
[2025-07-20 08:48:44,008: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-20 08:48:44,008: INFO: data_ingestion: File alreday exists]
[2025-07-20 08:48:44,038: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x======x]
[2025-07-20 08:48:44,038: INFO: main: >>>>>> stage MOdel validaiton stage started <<<<<<<]
[2025-07-20 08:48:44,039: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 08:48:44,041: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 08:48:44,042: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 08:48:44,043: INFO: common: created directory at: artifacts]
[2025-07-20 08:48:44,044: INFO: common: created directory at: artifacts/data_validation]
[2025-07-20 08:48:44,073: INFO: main: >>>>>> stage MOdel validaiton stage completed <<<<<<<

x======x]
[2025-07-20 08:48:44,074: INFO: main: >>>>>> stage Data Transformation stage started <<<<<<<]
[2025-07-20 08:48:44,075: INFO: main: >>>>>> stage Data Transformation stage completed <<<<<<<

x======x]
[2025-07-20 08:48:44,075: INFO: main: >>>>>> stage Model Trainer stage started <<<<<<<]
[2025-07-20 08:48:44,076: ERROR: main: 'ModelTrainerTrainingPipeline' object has no attribute 'initiate_data_validation']
Traceback (most recent call last):
  File "C:\WineQuality_prediction_dataScience_project\main.py", line 52, in <module>
    data_ingestion.initiate_data_validation()
AttributeError: 'ModelTrainerTrainingPipeline' object has no attribute 'initiate_data_validation'
[2025-07-20 08:51:20,708: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-07-20 08:51:20,711: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 08:51:20,712: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 08:51:20,714: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 08:51:20,714: INFO: common: created directory at: artifacts]
[2025-07-20 08:51:20,715: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-20 08:51:20,716: INFO: data_ingestion: File alreday exists]
[2025-07-20 08:51:20,721: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x======x]
[2025-07-20 08:51:20,721: INFO: main: >>>>>> stage MOdel validaiton stage started <<<<<<<]
[2025-07-20 08:51:20,723: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 08:51:20,726: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 08:51:20,729: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 08:51:20,730: INFO: common: created directory at: artifacts]
[2025-07-20 08:51:20,731: INFO: common: created directory at: artifacts/data_validation]
[2025-07-20 08:51:20,761: INFO: main: >>>>>> stage MOdel validaiton stage completed <<<<<<<

x======x]
[2025-07-20 08:51:20,762: INFO: main: >>>>>> stage Data Transformation stage started <<<<<<<]
[2025-07-20 08:51:20,763: INFO: main: >>>>>> stage Data Transformation stage completed <<<<<<<

x======x]
[2025-07-20 08:51:20,763: INFO: main: >>>>>> stage Model Trainer stage started <<<<<<<]
[2025-07-20 08:51:20,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-20 08:51:20,766: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-20 08:51:20,768: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-20 08:51:20,769: INFO: common: created directory at: artifacts]
[2025-07-20 08:51:20,769: INFO: common: created directory at: artifacts/model_trainer]
[2025-07-20 08:51:20,783: INFO: main: >>>>>> stage Model Trainer stage completed <<<<<<<

x======x]
